"","county","state","pollingplaces","pppcapita","peopleppp","plean","Totalpopulation","pctWhite","pctBlackorAfricanAmerican","pctHispanicorLatino(ofanyrace)","pctNotHispanicorLatino","Citizen,18andoverpopulation","pctUnemploymentRate","Meantraveltimetowork(minutes)","pctLessthan$10,000","pct$10,000to$14,999","pct$15,000to$24,999","pct$25,000to$34,999","pct$35,000to$49,999","pct$50,000to$74,999","pct$75,000to$99,999","pct$100,000to$149,999","pct$150,000to$199,999","pct$200,000ormore","Medianhouseholdincome(dollars)","Meanhouseholdincome(dollars)","Percapitaincome(dollars)","pctFamiliesIncomeBelowPoverty","pctPeopleIncomeBelowPoverty","pctLessthan9thgrade","pct9thto12thgrade,nodiploma","pctHighschoolgraduate(includesequivalency)","pctSomecollege,nodegree","pctAssociate'sdegree","pctBachelor'sdegree","pctGraduateorprofessionaldegree","pctHighschoolgraduateorhigher","pctBachelor'sdegreeorhigher","pctNative","pctForeignborn","popdensity","id","region"
"446","GILMER","GA",13,0.000578446204502981,1728.76923076923,-34.2067191769812,29922,90.6,0.5,11.5,88.5,22474,5.5,30,6.6,5.5,12.7,12.7,12.9,21.3,11.7,9.7,3.6,3.3,49389,63845,25812,10.5,16.3,7.6,10.4,36.4,18.4,7.1,12.3,7.8,81.9,20,93.1,6.9,70.20432,"0500000US13123","South"
"447","GILMER","WV",10,0.00148104265402844,675.2,-27.6730848013109,8205,82.8,11,4,96,6752,9.6,26.7,11.5,9,16.9,11.7,13.1,14.9,11.2,8.9,2.4,0.3,35810,48290,17313,11.4,18.9,5.4,9.8,44.2,19.7,6.5,9.1,5.3,84.8,14.4,96.7,3.3,24.23911,"0500000US54021","South"
"448","GLACIER","MT",16,0.00173103970572325,577.6875,15.8299936722211,13699,32.5,0.3,2.9,97.1,9243,7.5,15.5,14.1,15.4,13.6,11.2,13.8,11.5,6.6,7.8,3.3,2.7,31029,48457,17219,26.4,33.3,2.1,9,41.6,19.5,8.9,12.4,6.6,88.9,19,98.6,1.4,4.574039,"0500000US30035","West"
"449","GLASCOCK","GA",4,0.00173988690735102,574.75,-39.9490167516387,3009,88.4,9.1,1.6,98.4,2299,3.3,32.3,8.2,7.9,13.8,9.7,19.5,19.6,10.9,8.1,0.7,1.5,41686,53252,21076,14.7,18.3,7.8,14.9,42.1,22.1,4.1,7.6,1.4,77.4,9,99.8,0.2,20.93282,"0500000US13125","South"
"450","GLYNN","GA",20,0.000319979521310636,3125.2,-14.625829903566,83974,67.9,26.1,6.6,93.4,62504,5.4,19.6,8.2,5.2,11.1,10.4,14.3,16,11,13.5,4.6,5.6,50672,76225,31493,14.6,18.3,3.1,9,27,23.6,7.7,17.9,11.8,87.9,29.6,94.6,5.4,200.1521,"0500000US13127","South"
"451","GOLDEN VALLEY","MT",2,0.00336134453781513,297.5,-33.7155963302752,724,93.2,3.9,8.1,91.9,595,3.6,24.8,3.6,11.3,13.6,11.3,22,18.1,9.5,5.9,0,4.7,39952,56642,27476,12,14.5,0.5,4.7,40,20.6,8.2,19.9,5.9,94.8,25.9,98.5,1.5,0.6164731,"0500000US30037","West"
"452","GOLDEN VALLEY","ND",1,0.000688231245698555,1453,-38.9385474860335,1882,97,0,3.2,96.8,1453,1.6,17.3,4,4.9,12.7,11.7,10,27.2,10.4,10,3.2,5.8,56087,71569,32590,3,6.5,3.5,4.2,24.8,25.5,13.9,22.2,5.9,92.3,28.1,99.5,0.5,1.879166,"0500000US38033","Midwest"
"453","GOODHUE","MN",40,0.00114067356774175,876.675,-9.7820070677396,46217,94.3,1.1,3.3,96.7,35067,3.7,24.1,4.8,4.1,8.3,9.3,12.2,18.3,13.8,18.6,6.4,4.1,64765,79784,33400,6.3,9.9,1.9,3.7,32.9,23.4,13,17.1,7.9,94.3,25,97.2,2.8,61.06312,"0500000US27049","Midwest"
"454","GORDON","GA",13,0.000333000333000333,3003,-32.6856085347268,56790,89.2,4,15.6,84.4,39039,4.6,23.8,6.9,6.4,12.6,13.7,17.2,15.9,11.6,10.6,2.9,2.2,44313,60189,22448,16.3,20,8.5,13.8,35.2,21.6,6.5,8.9,5.6,77.7,14.4,90.8,9.2,159.5981,"0500000US13129","South"
"455","GOSPER","NE",4,0.00245851259987707,406.75,-32.7083333333333,2015,98,0.4,2.3,97.7,1627,2.9,16.4,4.1,1.7,8.6,9.6,12.5,22,16.8,14.7,7.3,2.7,62545,80845,34731,3.3,5.1,0.9,3.4,35.1,21.7,12.5,18.6,7.8,95.7,26.4,98.9,1.1,4.398074,"0500000US31073","Midwest"
